BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'17.7.1'	'hormone metabolism.jasmonate.synthesis-degradation'	'go:0003700'	'transcription factor activity'	
'17.7.1.1'	'hormone metabolism.jasmonate.synthesis-degradation.lipases'	'go:0004806'	'triglyceride lipase activity'	
'17.7.1.2'	'hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase'	'go:0016165'	'lipoxygenase activity'	
'17.7.1.3'	'hormone metabolism.jasmonate.synthesis-degradation.allene oxidase synthase'	'go:0009978'	'allene oxide synthase activity'	
'17.7.1.4'	'hormone metabolism.jasmonate.synthesis-degradation.allene oxidase cyclase'	'go:0046423'	'allene-oxide cyclase activity'	
'17.7.1.5'	'hormone metabolism.jasmonate.synthesis-degradation.12-Oxo-PDA-reductase'	'go:0016629'	'12-oxophytodienoate reductase activity'	
'17.7.1.10'	'hormone metabolism.jasmonate.synthesis-degradation.jasmonate-O-methyltransferase'	'go:0030795'	'jasmonate O-methyltransferase activity'	
'18'	''	''	''	
'18.1'	'Co-factor and vitamine metabolism.molybdenum cofactor'	'go:0008265'	'Mo-molybdopterin cofactor sulfurase activity'	
'18.1.1'	'Co-factor and vitamine metabolism.molybdenum cofactor.gephyrin'	'go:0030151'	'molybdenum ion binding'	
'18.2'	''	''	''	
'18.2.1'	'Co-factor and vitamine metabolism.thiamine.thiamine diphosphokinase'	'go:0004788'	'thiamin diphosphokinase activity'	
'18.2.2'	'Co-factor and vitamine metabolism.thiamine.hydroxymethylpyrimidine kinase'	'go:0008902'	'hydroxymethylpyrimidine kinase activity'	
'18.3'	''	''	''	
'18.3.1'	'Co-factor and vitamine metabolism.riboflavin.GTP cyclohydrolase II'	'go:0003935'	'GTP cyclohydrolase II activity'	
'18.3.2'	'Co-factor and vitamine metabolism.riboflavin.riboflavin synthase'	'go:0004746'	'riboflavin synthase activity'	
'18.4'	''	''	''	
'18.4.1'	'Co-factor and vitamine metabolism.pantothenate.pantothenate kinase'	'go:0004594'	'pantothenate kinase activity'	
'18.4.2'	'Co-factor and vitamine metabolism.pantothenate.pantoate-beta-alanine ligase'	'go:0004592'	'pantoate-beta-alanine ligase activity'	
'18.5'	''	''	''	
'18.5.2'	''	''	''	
'18.5.2.1'	'Co-factor and vitamine metabolism.folate & vitamine K.vitamine K.isochorismate synthase'	'go:0008909'	'isochorismate synthase activity'	
'18.5.2.5'	'Co-factor and vitamine metabolism.vitamine K.naphthoate synthase'	'go:0008935'	'naphthoate synthase activity'	
'18.6'	'Co-factor and vitamine metabolism.biotin'	'go:0009374'	'biotin binding'	
'18.6.1'	'Co-factor and vitamine metabolism.biotin.biotin synthase'	'go:0004076'	'biotin synthase activity'	
'18.8'	''	''	''	
'18.8.1'	'Co-factor and vitamine metabolism.ubiquinone.hexaprenyldihydroxybenzoate methyltransferase'	'go:0004395'	'hexaprenyldihydroxybenzoate methyltransferase activity'	
'19'	''	''	''	
'19.1'	'tetrapyrrole synthesis.glu-tRNA synthetase'	'go:0050567'	'glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity'	
'19.2'	'tetrapyrrole synthesis.glu-tRNA reductase'	'go:0008883'	'glutamyl-tRNA reductase activity'	
'19.3'	'tetrapyrrole synthesis.GSA'	'go:0042286'	'glutamate-1-semialdehyde 2,1-aminomutase activity'	
'19.4'	'tetrapyrrole synthesis.ALA dehydratase'	'go:0004655'	'porphobilinogen synthase activity'	
'19.5'	'tetrapyrrole synthesis.porphobilinogen deaminase'	'go:0004418'	'hydroxymethylbilane synthase activity'	
'19.6'	'tetrapyrrole synthesis.uroporphyrinogen III synthase'	'go:0004852'	'uroporphyringonen-III synthase activity'	
'19.7'	'tetrapyrrole synthesis.uroporphyrinogen decarboxylase'	'go:0004853'	'uroporphyrinogen decarboxylase activity'	
'19.8'	'tetrapyrrole synthesis.coproporphyrinogen III oxidase'	'go:0004109'	'coproporphyrinogen oxidase activity'	
'19.9'	'tetrapyrrole synthesis.protoporphyrin IX oxidase'	'go:0004729'	'oxygen-dependent protoporphyrinogen oxidase activity'	
'19.10'	'tetrapyrrole synthesis.magnesium chelatase'	'go:0016851'	'magnesium chelatase activity'	
'19.11'	'tetrapyrrole synthesis.magnesium protoporphyrin IX methyltransferase'	'go:0046406'	'magnesium protoporphyrin IX methyltransferase activity'	
'19.12'	'tetrapyrrole synthesis.magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase'	'go:0048529'	'magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity'	
'19.13'	'tetrapyrrole synthesis.divinyl chlorophyllide-a 8-vinyl-reductase'	'go:0051744'	'3,8-divinyl protochlorophyllide a 8-vinyl reductase activity'	
'19.14'	'tetrapyrrole synthesis.protochlorophyllide reductase'	'go:0016630'	'protochlorophyllide reductase activity'	
'19.15'	'tetrapyrrole synthesis.chlorophyll synthase'	'go:0046408'	'chlorophyll synthetase activity'	
'19.16'	'tetrapyrrole synthesis.chlorophyll b synthase'	'go:0010277'	'chlorophyllide a oxygenase activity'	
'19.20'	'tetrapyrrole synthesis.ferrochelatase'	'go:0004325'	'ferrochelatase activity'	
'19.21'	'tetrapyrrole synthesis.heme oxygenase'	'go:0004392'	'heme oxygenase (decyclizing) activity'	
'19.30'	'tetrapyrrole synthesis.urogen III methylase'	'go:0004851'	'uroporphyrin-III C-methyltransferase activity'	
'19.32'	'tetrapyrrole synthesis.sirohydrochlorin ferrochelatase'	'go:0051266'	'sirohydrochlorin ferrochelatase activity'	
'19.40'	'tetrapyrrole synthesis.regulation'	'go:0046906'	'tetrapyrrole binding'	
'20'	''	''	''	
'20.1'	''	''	''	
'20.1.4'	'stress.biotic.kinases'	'go:0016301'	'kinase activity'	
'20.1.5'	'stress.biotic.regulation of transcription'	'go:0003700'	'transcription factor activity'	
'20.1.7'	''	''	''	
'20.1.7.6'	'stress.biotic.PR-proteins.proteinase inhibitors'	'go:0030414'	'peptidase inhibitor activity'	
'20.1.7.12'	'stress.biotic.PR-proteins.plant defensins'	'go:0004867'	'serine-type endopeptidase inhibitor activity'	
'21'	''	''	''	
'21.1'	'redox.thioredoxin'	'go:0004791'	'thioredoxin-disulfide reductase activity'	
'21.2'	'redox.ascorbate and glutathione'	'go:0004602'	'glutathione peroxidase activity'	
'21.2.1'	'redox.ascorbate and glutathione.ascorbate'	'go:0016688'	'L-ascorbate peroxidase activity'	
'21.2.1'	'redox.ascorbate and glutathione.ascorbate'	'go:0045174'	'glutathione dehydrogenase (ascorbate) activity'	
'21.2.1'	'redox.ascorbate and glutathione.ascorbate'	'go:0016656'	'monodehydroascorbate reductase (NADH) activity'	
'21.2.1'	'redox.ascorbate and glutathione.ascorbate'	'go:0008447'	'L-ascorbate oxidase activity'	
'21.2.1.1'	'redox.ascorbate and glutathione.ascorbate.GME'	'go:0047918'	'GDP-mannose 3,5-epimerase activity'	
'21.2.1.2'	'redox.ascorbate and glutathione.ascorbate.GDP-L-galactose-hexose-1-phosphate guanyltransferase'	'go:0010472'	'GDP-galactose:glucose-1-phosphate guanyltransferase activity'	
'21.2.1.2'	'redox.ascorbate and glutathione.ascorbate.GDP-L-galactose-hexose-1-phosphate guanyltransferase'	'go:0010471'	'GDP-galactose:mannose-1-phosphate guanyltransferase activity'	
'21.2.1.3'	'redox.ascorbate and glutathione.ascorbate.L-galactose-1-phosphate phosphatase'	'go:0010347'	'L-galactose-1-phosphate phosphatase activity'	
'21.2.1.4'	'redox.ascorbate and glutathione.ascorbate.L-galactose dehydrogenase'	'go:0010349'	'L-galactose dehydrogenase activity'	
'21.2.1.5'	'redox.ascorbate and glutathione.ascorbate.L-Galactono-1,4-lactone dehydrogenase'	'go:0016633'	'galactonolactone dehydrogenase activity'	
'21.4'	'redox.glutaredoxins'	'go:0015035'	'protein disulfide oxidoreductase activity'	
'21.5'	'redox.peroxiredoxin'	'go:0051920'	'peroxiredoxin activity'	
'21.6'	'redox.dismutases and catalases'	'go:0004784'	'superoxide dismutase activity'	
'21.6'	'redox.dismutases and catalases'	'go:0004096'	'catalase activity'	
'21.99'	'redox.misc'	'go:0016491'	'oxidoreductase activity'	
'22'	''	''	''	
'22.1'	''	''	''	
'22.1.2'	'polyamine metabolism.synthesis.SAM decarboxylase'	'go:0004014'	'adenosylmethionine decarboxylase activity'	
'22.1.4'	'polyamine metabolism.synthesis.agmatine deiminase'	'go:0047632'	'agmatine deiminase activity'	
'22.1.5'	'polyamine metabolism.synthesis.N-carbamoylputrescine amidohydrolase'	'go:0050126'	'N-carbamoylputrescine amidase activity'	
'22.1.6'	'polyamine metabolism.synthesis.spermidine synthase'	'go:0004766'	'spermidine synthase activity'	
'22.1.7'	'polyamine metabolism.synthesis.spermine synthase'	'go:0016768'	'spermine synthase activity'	
'22.2'	''	''	''	
'22.2.1'	'polyamine metabolism.degradation.polyamin oxidase'	'go:0046592'	'polyamine oxidase activity'	
'23'	'nucleotide metabolism'	'go:0000166'	'nucleotide binding'	
'23.1'	''	''	''	
'23.1.1'	''	''	''	
'23.1.1.1'	'nucleotide metabolism.synthesis.pyrimidine.carbamoyl phosphate synthetase'	'go:0004086'	'carbamoyl-phosphate synthase activity'	
'23.1.1.2'	'nucleotide metabolism.synthesis.pyrimidine.aspartate transcarbamoylase'	'go:0004070'	'aspartate carbamoyltransferase activity'	
'23.1.1.3'	'nucleotide metabolism.synthesis.pyrimidine.dihydroorotase'	'go:0004151'	'dihydroorotase activity'	
'23.1.1.4'	'nucleotide metabolism.synthesis.pyrimidine.dihydroorotate dehydrogenase'	'go:0004152'	'dihydroorotate dehydrogenase activity'	
'23.1.1.5'	'nucleotide metabolism.synthesis.pyrimidine.UMP Synthase'	'go:0004590'	'orotidine-5'-phosphate decarboxylase activity'	
'23.1.1.5'	'nucleotide metabolism.synthesis.pyrimidine.UMP Synthase'	'go:0004588'	'orotate phosphoribosyltransferase activity'	
'23.1.1.10'	'nucleotide metabolism.synthesis.pyrimidine.CTP synthetase'	'go:0003883'	'CTP synthase activity'	
'23.1.2'	''	''	''	
'23.1.2.1'	'nucleotide metabolism.synthesis.purine.amidophosphoribosyltransferase'	'go:0004044'	'amidophosphoribosyltransferase activity'	
'23.1.2.2'	'nucleotide metabolism.synthesis.purine.GAR Synthetase'	'go:0004637'	'phosphoribosylamine-glycine ligase activity'	
'23.1.2.3'	'nucleotide metabolism.synthesis.purine.GAR transformylase'	'go:0004644'	'phosphoribosylglycinamide formyltransferase activity'	
'23.1.2.4'	'nucleotide metabolism.synthesis.purine.FGAR amidotransferase'	'go:0004642'	'phosphoribosylformylglycinamidine synthase activity'	
'23.1.2.5'	'nucleotide metabolism.synthesis.purine.AIR synthase'	'go:0004641'	'phosphoribosylformylglycinamidine cyclo-ligase activity'	
'23.1.2.6'	'nucleotide metabolism.synthesis.purine.AIR carboxylase'	'go:0004638'	'phosphoribosylaminoimidazole carboxylase activity'	
'23.1.2.7'	'nucleotide metabolism.synthesis.purine.SAICAR synthetase'	'go:0004639'	'phosphoribosylaminoimidazolesuccinocarboxamide synthase activity'	
'23.1.2.8'	'nucleotide metabolism.synthesis.purine.SAICAR lyase'	'go:0004018'	'N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity'	
'23.1.2.9'	'nucleotide metabolism.synthesis.purine.AICAR transformylase and IMP synthase'	'go:0004643'	'phosphoribosylaminoimidazolecarboxamide formyltransferase activity'	
'23.1.2.9'	'nucleotide metabolism.synthesis.purine.AICAR transformylase and IMP synthase'	'go:0003937'	'IMP cyclohydrolase activity'	
'23.1.2.20'	'nucleotide metabolism.synthesis.purine.adenylosuccinate synthase'	'go:0004019'	'adenylosuccinate synthase activity'	
'23.1.2.30'	'nucleotide metabolism.synthesis.purine.IMP dehydrogenase'	'go:0003938'	'IMP dehydrogenase activity'	
'23.1.2.31'	'nucleotide metabolism.synthesis.purine.GMP synthetase'	'go:0003922'	'GMP synthase (glutamine-hydrolyzing) activity'	
'23.1.3'	'nucleotide metabolism.synthesis.PRS-PP'	'go:0004749'	'ribose phosphate diphosphokinase activity'	
'23.3'	'nucleotide metabolism.salvage'	'go:0005524'	'ATP binding'	
'23.3.1'	''	''	''	
'23.3.1.1'	'nucleotide metabolism.salvage.phosphoribosyltransferases.aprt'	'go:0003999'	'adenine phosphoribosyltransferase activity'	
'23.3.1.2'	'nucleotide metabolism.salvage.phosphoribosyltransferases.hgprt'	'go:0016740'	'transferase activity'	
'23.3.1.3'	'nucleotide metabolism.salvage.phosphoribosyltransferases.upp'	'go:0004845'	'uracil phosphoribosyltransferase activity'	
'23.3.2'	''	''	''	
'23.3.2.1'	'nucleotide metabolism.salvage.nucleoside kinases.adenosine kinase'	'go:0004001'	'adenosine kinase activity'	
'23.3.2.3'	'nucleotide metabolism.salvage.nucleoside kinases.thymidine kinase'	'go:0004797'	'thymidine kinase activity'	
'23.4'	''	''	''	
'23.4.1'	'nucleotide metabolism.phosphotransfer and pyrophosphatases.adenylate kinase'	'go:0004017'	'adenylate kinase activity'	
'23.4.2'	'nucleotide metabolism.phosphotransfer and pyrophosphatases.guanylate kinase'	'go:0004385'	'guanylate kinase activity'	
'23.4.3'	'nucleotide metabolism.phosphotransfer and pyrophosphatases.uridylate kinase'	'go:0009041'	'uridylate kinase activity'	
'23.4.4'	'nucleotide metabolism.phosphotransfer and pyrophosphatases.thymidylate kinase'	'go:0004798'	'thymidylate kinase activity'	
'23.4.10'	'nucleotide metabolism.phosphotransfer and pyrophosphatases.nucleoside diphosphate kinase'	'go:0004550'	'nucleoside diphosphate kinase activity'	
'23.5'	''	''	''	
'23.5.1'	'nucleotide metabolism.deoxynucleotide metabolism.dihydrofolate reductase-thymidylate synthase'	'go:0004799'	'thymidylate synthase activity'	
'23.5.1'	'nucleotide metabolism.deoxynucleotide metabolism.dihydrofolate reductase-thymidylate synthase'	'go:0004146'	'dihydrofolate reductase activity'	
'23.5.2'	'nucleotide metabolism.deoxynucleotide metabolism.pseudouridine synthase'	'go:0009982'	'pseudouridine synthase activity'	
'23.5.3'	'nucleotide metabolism.deoxynucleotide metabolism.cytosine deaminase'	'go:0008835'	'diaminohydroxyphosphoribosylaminopyrimidine deaminase activity'	
'23.5.4'	'nucleotide metabolism.deoxynucleotide metabolism.ribonucleoside-diphosphate reductase'	'go:0004748'	'ribonucleoside-diphosphate reductase activity'	
'23.5.5'	'nucleotide metabolism.deoxynucleotide metabolism.dUTP diphosphatase'	'go:0004170'	'dUTP diphosphatase activity'	
'24'	''	''	''	
'24.1'	'Biodegradation of Xenobiotics.hydroxyacylglutathione hydrolase'	'go:0004416'	'hydroxyacylglutathione hydrolase activity'	
'24.2'	'Biodegradation of Xenobiotics.lactoylglutathione lyase'	'go:0004462'	'lactoylglutathione lyase activity'	
'24.3'	'Biodegradation of Xenobiotics.3-hydroxybutyryl-CoA dehydrogenase'	'go:0008691'	'3-hydroxybutyryl-CoA dehydrogenase activity'	
'25'	''	''	''	
'25.1'	'C1-metabolism.glycine hydroxymethyltransferase'	'go:0004372'	'glycine hydroxymethyltransferase activity'	
'25.2'	'C1-metabolism.formate-tetrahydrofolate ligase'	'go:0004329'	'formate-tetrahydrofolate ligase activity'	
'25.3'	'C1-metabolism.dihydropteridine diphosphokinase'	'go:0004156'	'dihydropteroate synthase activity'	
'25.3'	'C1-metabolism.dihydropteridine diphosphokinase'	'go:0003848'	'2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity'	
'25.4'	'C1-metabolism.5-formyltetrahydrofolate cyclo-ligase'	'go:0030272'	'5-formyltetrahydrofolate cyclo-ligase activity'	
'25.6'	'C1-metabolism.methylenetetrahydrofolate reductase'	'go:0004489'	'methylenetetrahydrofolate reductase (NADPH) activity'	
'25.7'	'C1-metabolism.GTP cyclohydrolase I'	'go:0003934'	'GTP cyclohydrolase I activity'	
'25.8'	'C1-metabolism.tetrahydrofolate synthase'	'go:0004326'	'tetrahydrofolylpolyglutamate synthase activity'	
'25.9'	'C1-metabolism.dihydroneopterin aldolase'	'go:0004150'	'dihydroneopterin aldolase activity'	
'25.10'	'C1-metabolism.formate dehydrogenase'	'go:0016616'	'oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor'	
'26'	''	''	''	
'26.2'	'misc.UDP glucosyl and glucoronyl transferases'	'go:0016757'	'transferase activity, transferring glycosyl groups'	
'26.2'	'misc.UDP glucosyl and glucoronyl transferases'	'go:0016758'	'transferase activity, transferring hexosyl groups'	
'26.3'	'misc.gluco-, galacto- and mannosidases'	'go:0004553'	'hydrolase activity, hydrolyzing O-glycosyl compounds'	
'26.4'	'misc.beta 1,3 glucan hydrolases'	'go:0004553'	'hydrolase activity, hydrolyzing O-glycosyl compounds'	
'26.5'	'misc.acyl transferases'	'go:0004091'	'carboxylesterase activity'	
'26.6'	'misc.O- methyl transferases'	'go:0008171'	'O-methyltransferase activity'	
'26.9'	'misc.glutathione S transferases'	'go:0004364'	'glutathione transferase activity'	
'26.10'	'misc.cytochrome P450'	'go:0009055'	'electron carrier activity'	
'26.11'	''	''	''	
'26.11.1'	'misc.alcohol dehydrogenases'	'go:0004022'	'alcohol dehydrogenase (NAD) activity'	
'26.12'	'misc.peroxidases'	'go:0004601'	'peroxidase activity'	
'26.13'	'misc.acid and other phosphatases'	'go:0003993'	'acid phosphatase activity'	
'26.18'	'misc.invertase/pectin methylesterase inhibitor family protein'	'go:0046910'	'pectinesterase inhibitor activity'	
'26.26'	''	''	''	
'26.26.1'	'misc.aminotransferases.aminotransferase class IV family protein'	'go:0004084'	'branched-chain-amino-acid transaminase activity'	
'26.28'	'misc.GDSL-motif lipase'	'go:0016298'	'lipase activity'	
'26.30'	'misc.other Ferredoxins and Rieske domain'	'go:0051537'	'2 iron, 2 sulfur cluster binding'	
'27'	''	''	''	
'27.1'	''	''	''	
'27.1.2'	'RNA.processing.RNA helicase'	'go:0008026'	'ATP-dependent helicase activity'	
'27.1.19'	'RNA.processing.ribonucleases'	'go:0004540'	'ribonuclease activity'	
'27.1.21'	'RNA.processing.siRNA methyltransferase'	'go:0008173'	'RNA methyltransferase activity'	
'27.3'	'RNA.regulation of transcription'	'go:0030528'	'transcription regulator activity'	
'27.3'	'RNA.regulation of transcription'	'go:0030528'	'transcription regulator activity'	
'27.4'	'RNA.RNA binding'	'go:0003723'	'RNA binding'	
'28'	''	''	''	
'28.1'	'DNA.synthesis/chromatin structure'	'go:0003677'	'DNA binding'	
'28.1.3'	'DNA.synthesis/chromatin structure.histone'	'go:0031492'	'nucleosomal DNA binding'	
'28.2'	'DNA.repair'	'go:0003684'	'damaged DNA binding'	
'29'	''	''	''	
'29.1'	'protein.aa activation'	'go:0016876'	'ligase activity, forming aminoacyl-tRNA and related compounds'	
'29.1.1'	'protein.aa activation.tyrosine-tRNA ligase'	'go:0004831'	'tyrosine-tRNA ligase activity'	
'29.1.3'	'protein.aa activation.threonine-tRNA ligase'	'go:0004829'	'threonine-tRNA ligase activity'	
'29.1.4'	'protein.aa activation. leucine-tRNA ligase'	'go:0004823'	'leucine-tRNA ligase activity'	
'29.1.5'	'protein.aa activation.isoleucine-tRNA ligase'	'go:0004822'	'isoleucine-tRNA ligase activity'	
'29.1.6'	'protein.aa activation.lysine-tRNA ligase'	'go:0004824'	'lysine-tRNA ligase activity'	
'29.1.7'	'protein.aa activation.alanine-tRNA ligase'	'go:0004813'	'alanine-tRNA ligase activity'	
'29.1.9'	'protein.aa activation. valine-tRNA ligase'	'go:0004832'	'valine-tRNA ligase activity'	
'29.1.10'	'protein.aa activation.methionine-tRNA ligase'	'go:0004825'	'methionine-tRNA ligase activity'	
'29.1.11'	'protein.aa activation.serine-tRNA ligase'	'go:0004828'	'serine-tRNA ligase activity'	
'29.1.12'	'protein.aa activation.aspartate-tRNA ligase'	'go:0004815'	'aspartate-tRNA ligase activity'	
'29.1.14'	'protein.aa activation.glycine-tRNA ligase'	'go:0004820'	'glycine-tRNA ligase activity'	
'29.1.16'	'protein.aa activation.cysteine-tRNA ligase'	'go:0004817'	'cysteine-tRNA ligase activity'	
'29.1.17'	'protein.aa activation.glutamate-tRNA ligase'	'go:0004818'	'glutamate-tRNA ligase activity'	
'29.1.18'	'protein.aa activation.glutamine-tRNA ligase'	'go:0004819'	'glutamine-tRNA ligase activity'	
'29.1.19'	'protein.aa activation.arginine-tRNA ligase'	'go:0004814'	'arginine-tRNA ligase activity'	
'29.1.20'	'protein.aa activation.phenylalanine-tRNA ligase'	'go:0004826'	'phenylalanine-tRNA ligase activity'	
'29.1.21'	'protein.aa activation.histidine-tRNA ligase'	'go:0004821'	'histidine-tRNA ligase activity'	
'29.1.22'	'protein.aa activation.asparagine-tRNA ligase'	'go:0004816'	'asparagine-tRNA ligase activity'	
'29.1.30'	'protein.aa activation.pseudouridylate synthase'	'go:0009982'	'pseudouridine synthase activity'	
'29.1.40'	'protein.aa activation.bifunctional aminoacyl-tRNA synthetase'	'go:0004812'	'aminoacyl-tRNA ligase activity'	
'29.2'	''	''	''	
'29.2.1'	'protein.synthesis.ribosomal protein'	'go:0008266'	'poly(U) RNA binding'	
'29.2.3'	'protein.synthesis.initiation'	'go:0003743'	'translation initiation factor activity'	
'29.2.4'	'protein.synthesis.elongation'	'go:0003746'	'translation elongation factor activity'	
'29.2.7'	'protein.synthesis.transfer RNA'	'go:0030533'	'triplet codon-amino acid adaptor activity'	
'29.3'	''	''	''	
'29.3.4'	''	''	''	
'29.3.4.3'	'protein.targeting.secretory pathway.vacuole'	'go:0009940'	'amino-terminal vacuolar sorting propeptide binding'	
'29.4'	''	''	''	
'29.4.1'	'protein.postranslational modification.kinase'	'go:0004672'	'protein kinase activity'	
'29.5'	'protein.degradation'	'go:0008233'	'peptidase activity'	
'29.5.1'	'protein.degradation.subtilases'	'go:0004252'	'serine-type endopeptidase activity'	
'29.5.5'	'protein.degradation.serine protease'	'go:0008236'	'serine-type peptidase activity'	
'29.5.11'	''	''	''	
'29.5.11.3'	'protein.degradation.ubiquitin.E2'	'go:0004842'	'ubiquitin-protein ligase activity'	
'29.5.11.4'	''	''	''	
'29.5.11.4.1'	'protein.degradation.ubiquitin.E3.HECT'	'go:0004842'	'ubiquitin-protein ligase activity'	
'29.5.11.4.2'	'protein.degradation.ubiquitin.E3.RING'	'go:0004842'	'ubiquitin-protein ligase activity'	
'29.5.11.4.3'	''	''	''	
'29.5.11.4.3.1'	'protein.degradation.ubiquitin.E3.SCF.SKP'	'go:0004842'	'ubiquitin-protein ligase activity'	
'29.5.11.4.3.2'	'protein.degradation.ubiquitin.E3.SCF.FBOX'	'go:0004842'	'ubiquitin-protein ligase activity'	
'29.5.11.4.3.4'	'protein.degradation.ubiquitin.E3.SCF.RBX'	'go:0004842'	'ubiquitin-protein ligase activity'	
'29.5.11.4.4'	'protein.degradation.ubiquitin.E3.APC'	'go:0004842'	'ubiquitin-protein ligase activity'	
'29.5.11.4.5'	''	''	''	
'29.5.11.4.5.1'	'protein.degradation.ubiquitin.E3.BTB/POZ Cullin3.Cullin3'	'go:0004842'	'ubiquitin-protein ligase activity'	
'29.7'	'protein.glycosylation'	'go:0016757'	'transferase activity, transferring glycosyl groups'	
'30'	''	''	''	
'30.1'	''	''	''	
'30.1.2'	'signalling.in sugar and nutrient physiology.pyruvate dehydrogenase kinase'	'go:0004740'	'pyruvate dehydrogenase (acetyl-transferring) kinase activity'	
'30.2'	'signalling.receptor kinases'	'go:0019199'	'transmembrane receptor protein kinase activity'	
'30.2'	'signalling.receptor kinases'	'go:0019199'	'transmembrane receptor protein kinase activity'	
'30.4'	''	''	''	
'30.4.1'	'signalling.phosphinositides.phosphatidylinositol-4-phosphate 5-kinase'	'go:0016308'	'1-phosphatidylinositol-4-phosphate 5-kinase activity'	
'30.4.2'	'signalling.phosphinositides.phosphatidylinositol 4-kinase'	'go:0004430'	'1-phosphatidylinositol 4-kinase activity'	
'30.4.3'	'signalling.phosphinositides.bis(5'-nucleosyl)-tetraphosphatase'	'go:0004081'	'bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity'	
'30.4.4'	'signalling.phosphinositides.phosphoinositide phospholipase C'	'go:0004629'	'phospholipase C activity'	
'30.4.5'	'signalling.phosphinositides.inositol-1,3,4-trisphosphate 5/6-kinase'	'go:0035300'	'inositol-1,3,4-trisphosphate 5/6-kinase activity'	
'30.5'	'signalling.G-proteins'	'go:0003924'	'GTPase activity'	
'30.6'	'signalling.MAP kinases'	'go:0004707'	'MAP kinase activity'	
'30.6'	'signalling.MAP kinases'	'go:0004708'	'MAP kinase kinase activity'	
'30.6'	'signalling.MAP kinases'	'go:0004709'	'MAP kinase kinase kinase activity'	
'30.10'	'signalling.phosphorelay'	'go:0009927'	'histidine phosphotransfer kinase activity'	
'31'	''	''	''	
'31.1'	'cell.organisation'	'go:0005200'	'structural constituent of cytoskeleton'	
'31.3'	''	''	''	
'31.3.1'	'cell.cycle.peptidylprolyl isomerase'	'go:0003755'	'peptidyl-prolyl cis-trans isomerase activity'	
'33'	''	''	''	
'33.1'	'development.storage proteins'	'go:0045735'	'nutrient reservoir activity'	
'34'	''	''	''	
'34.1'	'transport.p- and v-ATPases'	'go:0016887'	'ATPase activity'	
'34.1.1'	'transport.p- and v-ATPases.H+-transporting two-sector ATPase'	'go:0046961'	'proton-transporting ATPase activity, rotational mechanism'	
'34.1.2'	'transport.p- and v-ATPases.H+-exporting ATPase'	'go:0008553'	'hydrogen-exporting ATPase activity, phosphorylative mechanism'	
'34.2'	'transport.sugars'	'go:0015144'	'carbohydrate transmembrane transporter activity'	
'34.2.1'	'transport.sugars.sucrose'	'go:0008515'	'sucrose transmembrane transporter activity'	
'34.3'	'transport.amino acids'	'go:0015171'	'amino acid transmembrane transporter activity'	
'34.4'	'transport.nitrate'	'go:0015112'	'nitrate transmembrane transporter activity'	
'34.5'	'transport.ammonium'	'go:0008519'	'ammonium transmembrane transporter activity'	
'34.6'	'transport.sulphate'	'go:0015116'	'sulfate transmembrane transporter activity'	
'34.7'	'transport.phosphate'	'go:0005315'	'inorganic phosphate transmembrane transporter activity'	
'34.7'	'transport.phosphate'	'go:0015114'	'phosphate transmembrane transporter activity'	
'34.10'	'transport.nucleotides'	'go:0015205'	'nucleobase transmembrane transporter activity'	
'34.11'	'transport.NDP-sugars at the ER'	'go:0005338'	'nucleotide-sugar transmembrane transporter activity'	
'34.12'	'transport.metal'	'go:0046873'	'metal ion transmembrane transporter activity'	
'34.13'	'transport.peptides and oligopeptides'	'go:0015198'	'oligopeptide transporter activity'	
'34.13'	'transport.peptides and oligopeptides'	'go:0042936'	'dipeptide transporter activity'	
'34.13'	'transport.peptides and oligopeptides'	'go:0042937'	'tripeptide transporter activity'	
'34.14'	'transport.unspecified cations'	'go:0019829'	'cation-transporting ATPase activity'	
'34.15'	'transport.potassium'	'go:0015079'	'potassium ion transmembrane transporter activity'	
'34.16'	'transport.ABC transporters and multidrug resistance systems'	'go:0008559'	'xenobiotic-transporting ATPase activity'	
'34.18'	'transport.unspecified anions'	'go:0005253'	'anion channel activity'	
'34.19'	''	''	''	
'34.19.1'	'transport.Major Intrinsic Proteins.PIP'	'go:0015250'	'water channel activity'	
'34.19.2'	'transport.Major Intrinsic Proteins.TIP'	'go:0015250'	'water channel activity'	
'34.19.3'	'transport.Major Intrinsic Proteins.NIP'	'go:0015250'	'water channel activity'	
'34.19.4'	'transport.Major Intrinsic Proteins.SIP'	'go:0015250'	'water channel activity'	
'34.21'	'transport.calcium'	'go:0005262'	'calcium channel activity'	
'34.22'	'transport.cyclic nucleotide or calcium regulated channels'	'go:0005262'	'calcium channel activity'	
'34.22'	'transport.cyclic nucleotide or calcium regulated channels'	'go:0005222'	'intracellular cAMP activated cation channel activity'	
